case,gender,shootingType,race,city,state,date,year,injured,killed,casualties,locationType,weaponObtained,weaponType,weaponDetails,lat,long
Hotel shooting,Male,Mass,Latino,Tampa,Florida,12/30/1999,1999,3,5,8,Workplace,"One purchased from Big E's in Tampa, Fla.","One semiautomatic handgun, one revolver",9mm Lorcin semiautomatic handgun; .38-caliber Charter Arms revolver,27.94775963,-82.45844269
Atlanta day trading spree killings,Male,Spree,White,Atlanta,Georgia,7/29/1999,1999,13,9,22,Workplace,"Glock purchased from gun store in Warner Robins, Ga. ","Three semiautomatic handguns, one revolver",".45-caliber Colt 1911-A1, 9mm Glock 17, .25-caliber Raven Arms MP-25 semiautomatic handguns; .22-caliber Harrington & Richardson revolver",33.74909973,-84.3901825
Wakefield massacre,Male,Mass,White,Wakefield,Massachusetts,12/26/2000,2000,0,7,7,Workplace,Unknown,"One semiautomatic handgun, one rifle (assault), one shotgun",.32-caliber Retolaza semiautomatic handgun; AK-47 variant semiautomatic rifle; 12-gauge Winchester 1300 pump-action shotgun,42.50648499,-71.0728302
Navistar shooting,Male,Mass,Black,Melrose Park,Illinois,2/5/2001,2001,4,5,9,Workplace,"Some purchased from Pepper Sports in Glen Ellyn, Ill. ","Two rifles, one revolver, one shotgun","SKS 1954R, .30-caliber Winchester rifles; 12-gauge Remington pump-action shotgun; .38-caliber revolver",41.90058517,-87.8567276
Lockheed Martin shooting,Male,Mass,White,Meridian,Mississippi,7/8/2003,2003,8,7,15,Workplace,Purchased from an individual,"One semiautomatic handgun, two rifles, one derringer, one shotgun",".45-caliber Ruger P90 semiautomatic handgun; .22-caliber rifle with scope, .223-caliber Ruger Mini-14 rifle; 12-gauge Winchester 1300 shotgun; .22 Magnum derringer",32.37607956,-88.68978119
Goleta postal shootings,Female,Spree,White,Goleta,California,1/30/2006,2006,0,8,8,Workplace,"Pawn shops in Grants and Gallup, N.M.",One semiautomatic handgun,9mm Smith & Wesson 915 semiautomatic handgun,34.43628311,-119.8714371
Atlantis Plastics shooting,Male,Mass,White,Henderson,Kentucky,6/25/2008,2008,1,6,7,Workplace,Unknown,One semiautomatic handgun,.45-caliber Hi-Point semiautomatic handgun,37.7672081,-87.55737305
Hartford Beer Distributor shooting,Male,Mass,Black,Manchester,Connecticut,8/3/2010,2010,2,9,11,Workplace,"Gun dealer in East Windsor, Conn.",Two semiautomatic handguns,Two 9mm Ruger SR9 semiautomatic handguns,41.77593231,-72.52147675
Accent Signage Systems shooting,Male,Mass,White,Minneapolis,Minnesota,9/27/2012,2012,1,7,8,Workplace,Unknown,One semiautomatic handgun,9mm Glock semiautomatic handgun,44.97729874,-93.26547241
San Bernardino mass shooting,Male & Female,Mass,Other,San Bernardino,California,12/2/2015,2015,21,14,35,Workplace,Unknown,"Two assault rifles and two semi-automatic pistols were used in the attack. Police found a remote controlled explosive device at the scene of the crime. At the home were 12 pipe bombs, 2,500 rounds for the AR-15 variants, 2,000 rounds for the pistols, and several hundred for a .22 calibre rifle. In the suspects' car were an additional 1,400 rounds for the rifles and 200 for the handguns.","Two semiautomatic AR-15-style rifles—one a DPMS A-15, the other a Smith & Wesson M&P15, both with .223 calibre ammunition. Two 9mm semiautomatic handguns. High capacity magazines.",34.075961,-117.27789
